Node,2-12,7,,,,,,,,,,,,,,,,,,,,,,,
Canal,Canal Key,Type_Child Node,Parent Key,Child Key,Parent Name,Child Name,Section,ID,Class,under confirm,Direction,Length,Offset,Photo,Hilight_ChildNode,Area,Cum_Area,fishpond,A,Bigger_ID P3A,Latest Growing Stage,UPI,Golongan_Canal,Golongan_TB,Bank
Barat MC.,L_M2,Str,L_Bt_19,L_Bt_20,B.Bt.12.2,B.Bt.12.3,sec20,L_M2_sec20,Other,,up,100,0,Not Available,,,,,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_20,L_Bt_21,B.Bt.12.3,B.Bt.12.4,sec21,L_M2_sec21,Other,,up,100,0,1AZDo2X7QH4T7BqJ26e3hceTr8N0NQ0HL,,,"10,456",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_21,L_Bt_22,B.Bt.12.4,B.Bt.12.5,sec22,L_M2_sec22,Other,,up,180,0,Not Available,,,"10,307",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_22,L_Bt_23,B.Bt.12.5,B.Bt.12.6,sec23,L_M2_sec23,Other,,up,120,0,1vKdaCkT6LYFMokR9jlq6AJX6Xkp22KQ6,,,,,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_23,L_Bt_24,B.Bt.12.6,B.Bt.12.7,sec24,L_M2_sec24,Other,,up,120,0,1_1NQ_9JNsoro130pPdraKHfP4EE_RDc3,,,"10,261",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_24,L_Bt_25,B.Bt.12.7,B.Bt.12,sec25,L_M2_sec25,Other,,up,180,0,1fMggcyfk-GDy2uE1cyPoB35VWksXe3NI,,,"10,232",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_25,L_Bt_26,B.Bt.12,B.Bt.13.1,sec26,L_M2_sec26,Other,,up,100,0,1748NyaPmWrJtBfYgZj_bjoEOMJCUfRNr,,,"10,209",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_26,L_Bt_27,B.Bt.13.1,B.Bt.13.2,sec27,L_M2_sec27,Other,,up,100,0,1ZEJkdbcoG1ndRBQcZikcacHj7MTcB2hV,,,"10,194",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_27,L_Bt_28,B.Bt.13.2,B.Bt.13.3,sec28,L_M2_sec28,Other,,up,120,0,1dYLE7pCqPtpDXc9__5hWIGOpkBZAv7O-,,,"10,184",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_28,L_Bt_29,B.Bt.13.3,B.Bt.13,sec29,L_M2_sec29,Other,,left,120,0,1cD1ffPGbqkAv7ojVWCZmDZu8B6zNvPMw,,,"10,159",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_29,L_Bt_30,B.Bt.13,B.Bt.14.1,sec30,L_M2_sec30,Other,,left,150,0,Not Available,,,"10,106",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_30,L_Bt_31,B.Bt.14.1,B.Bt.14,sec31,L_M2_sec31,Other,,left,260,0,1XvsOPg603If1VnrWQwVMn0I2g5nmkYQw,#,,"10,069",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_31,L_Bt_32,B.Bt.14,B.Bt.15,sec32,L_M2_sec32,DS,,left,700,0,Not Available,#,,"10,058",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_32,L_Bt_33,B.Bt.15,B.Bt.16,sec33,L_M2_sec33,DS,,left,240,0,Not Available,,,"10,051",,12.34,,,,Left_Golongan_3_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_33,L_Bt_34,B.Bt.16,B.Bt.17,sec34,L_M2_sec34,Other,,left,120,0,1zkhvZFBACxZJ14X1NcMFMXI40RSsGiKx,#,,"9,951",,12.34,,,,Left_Golongan_3_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_34,L_Bt_35,B.Bt.17,B.Bt.18.1,sec35,L_M2_sec35,DS,,left,250,0,1pw06py1ZwpXRfCHrnidE7kEBZKqN6nLw,,,"9,829",,12.34,,,,Left_Golongan_3_1,FALSE,
