Year,5Day_ID,101,102,103,202,203,104,105,204,106,107,108,109,110,111,112,113,207,303,114,115,116,118,119,120
2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2019,3,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,3
2019,4,20,0,0,0,8,5,0,0,2,0,0,0,2,0,0,0,5,0,7,0,0,0,0,4
2019,5,7,0,0,8,20,0,0,0,1,22,0,2,0,0,4,0,0,55,0,0,23,4,23,0
2019,6,3,5,20,11,0,67,0,33,2,4,60,0,0,20,12,22,15,0,17,29,0,9,0,9
2019,7,67,41,0,44,15,0,4,29,0,2,2,0,1,1,1,3,40,20,2,2,11,6,12,4
2019,8,1,22,22,44,37,69,0,27,12,3,16,4,6,0,4,72,7,3,53,3,11,0,0,24
2019,9,18,0,0,0,0,81,52,0,85,26,15,7,1,0,4,11,0,27,9,18,6,3,42,29
2019,10,7,26,13,57,55,5,78,96,9,20,29,91,71.5,103,16,31,57,101,53,10,56,97,93,38
2019,11,4,32,12,48,49,27,46,49,19,75,10,70,63,15,3,20,48,63,290,0,66,24,44,17
2019,12,62,48,32,136,124,97,29,138,5,44,12,20,54.5,27,11,22,47,111,16,30,59,12,27,45
2019,13,10,44,0,44,122,24,25,52,9,26,38,30,38,0,5,12,30,116,15,4,61,44,9,3
2019,14,27,35,69,92.5,5,36,43,35,10,63,9,0,26,7,14,46,75,103,18,33,23,47,51,78
2019,15,26,30,10,35,98,15,54,24,35,111,14,0,16,6,9,52,40,139,85,47,36,30,95,37
2019,16,4,16,36,6,116,22,8,27,75,5,0,0,1,0,6,14,5,48,2,0,5,21,13,2
2019,17,72,39,67,33.5,25,99,49,31,47,62,37,45,64.5,69,29,69,40,21,61,65,42,40,31,75
2019,18,51,16,127,34,11,87,27,23.5,344,40,49,7,22,20,19,31,50,27,28,59,28,28,29,27
2019,19,6,48,24,63,29,48,42,52,8,34,4,30,71,16,7,8,45,102,15,27,28,38,39,19
2019,20,1,84,0,79,32,8,6,82,10,24,31,0,14.5,14,7,15,50,84,0,11,32.9,5,25,9
