group,Crop,Month,Step,Re
Right_Golongan 1,Re_palawija,12,4,5.4
Right_Golongan 1,Re_palawija,12,5,2.3
Right_Golongan 1,Re_palawija,12,6,3.8
Right_Golongan 1,Re_palawija,1,1,3.2
Right_Golongan 1,Re_palawija,1,2,3.1
Right_Golongan 1,Re_palawija,1,3,1.8
Right_Golongan 1,Re_palawija,1,4,0.4
Right_Golongan 1,Re_palawija,1,5,0.9
Right_Golongan 1,Re_palawija,1,6,0.2
Right_Golongan 1,Re_palawija,2,1,3.8
Right_Golongan 1,Re_palawija,2,2,4.2
Right_Golongan 1,Re_palawija,2,3,1.4
Right_Golongan 1,Re_palawija,2,4,1.6
Right_Golongan 1,Re_palawija,2,5,3.6
Right_Golongan 1,Re_palawija,2,6,1.7
Right_Golongan 1,Re_palawija,3,1,1.9
Right_Golongan 1,Re_palawija,3,2,2.2
Right_Golongan 1,Re_palawija,3,3,3.1
Right_Golongan 1,Re_palawija,3,4,1.2
Right_Golongan 1,Re_palawija,3,5,1.1
Right_Golongan 1,Re_palawija,3,6,0.9
Right_Golongan 1,Re_palawija,4,1,1.4
Right_Golongan 1,Re_palawija,4,2,1.6
Right_Golongan 1,Re_palawija,4,3,0.8
Right_Golongan 1,Re_palawija,4,4,0.6
Right_Golongan 1,Re_palawija,4,5,0.3
Right_Golongan 1,Re_palawija,4,6,1.4
Right_Golongan 1,Re_palawija,5,1,1.0
Right_Golongan 1,Re_palawija,5,2,0.6
Right_Golongan 1,Re_palawija,5,3,0.0
Right_Golongan 1,Re_palawija,5,4,0.0
Right_Golongan 1,Re_palawija,5,5,1.4
Right_Golongan 1,Re_palawija,5,6,0.0
Right_Golongan 1,Re_palawija,6,1,0.0
Right_Golongan 1,Re_palawija,6,2,0.0
Right_Golongan 1,Re_palawija,6,3,0.0
Right_Golongan 1,Re_palawija,6,4,0.0
Right_Golongan 1,Re_palawija,6,5,0.0
Right_Golongan 1,Re_palawija,6,6,0.0
Right_Golongan 1,Re_palawija,7,1,0.0
Right_Golongan 1,Re_palawija,7,2,0.0
Right_Golongan 1,Re_palawija,7,3,0.0
Right_Golongan 1,Re_palawija,7,4,0.0
